"Timestamp","Are you over the age of 18?","Do you ever experience challenges or specific needs when finding and using public washrooms?","In a typical week, how often do you use public washrooms outside your home?","How much effort does it usually take to locate a public washroom when you need one?","Have you ever changed your plans, delayed an outing, or avoided going somewhere because you weren’t sure a washroom would be available?","When using a public washroom, how often do you require accessibility features (e.g., grab bars, wider stalls, automatic doors, lower sinks)?","Which washroom features are most important to you? (Select up to 3)","Have you ever encountered a washroom labeled “accessible” that did not meet your needs?","How stressful do you find situations when you cannot locate a washroom quickly?","How confident are you that you can find a suitable public washroom when you leave home?","Have you ever used a digital tool (e.g., Google Maps, apps, websites) to locate a washroom?","When looking up a washroom online, which information would be most valuable? (Select all that apply)","How likely would you be to trust user reviews about a washroom’s accessibility?","Is there anything else you’d like to share about your experiences finding or using public washrooms?","What is your age group?","Do you identify as having a disability or condition that affects your mobility?","Do you live in the city of Toronto?"
"2025/09/25 12:41:43 PM AST","Yes","Yes – I often need urgent access to a washroom (e.g., medical, health, or personal reasons)","Multiple times per day","Somewhat difficult","Yes","Rarely","Availability of gender-inclusive washrooms","No","Somewhat stressful","Neutral","Yes, often","Photos of the washroom;Cleanliness ratings","Very likely","NAA","18–24","No","Yes, within midtown/uptown Toronto"
"2025/09/25 1:25:54 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 1:32:41 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Rarely","Somewhat difficult","No","Always","Cleanliness;Grab bars / handrails;Wide stalls or accessible layout; Hooks for clothes in public washrooms ","No","Somewhat stressful","Neutral","No, never","Photos of the washroom;Just the detail location","Somewhat likely","N/A","18–24","No","No, I live within the GTA or beyond"
"2025/09/25 2:18:39 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 2:57:56 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","A few times per week","Neither easy nor difficult","No","Rarely","Cleanliness;Clear signage/directions;Automatic doors / touchless fixtures","No","A little stressful","Somewhat confident","No, never","Photos of the washroom;Cleanliness ratings;User reviews;Real-time availability (occupied/free)","Somewhat likely","I appreciate hearing through word of mouth which washrooms have free menstruation products!","18–24","No","Yes, within central downtown Toronto"
"2025/09/25 3:16:22 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 3:19:51 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Rarely","Neither easy nor difficult","Yes","Rarely","Cleanliness;Wide stalls or accessible layout;Automatic doors / touchless fixtures","No","A little stressful","Neutral","No, never","Photos of the washroom;Cleanliness ratings;User reviews","Somewhat likely","N/a","18–24","No","No, I live within the GTA or beyond"
"2025/09/25 3:22:36 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 3:23:26 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","A few times per week","Neither easy nor difficult","Yes","Rarely","Cleanliness;Clear signage/directions;Automatic doors / touchless fixtures","No","Somewhat stressful","Neutral","Yes, sometimes","Photos of the washroom;Cleanliness ratings;User reviews","Somewhat likely","N/A","18–24","No","Yes, within central downtown Toronto"
"2025/09/25 3:31:34 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 3:42:27 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
"2025/09/25 3:48:44 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Multiple times per day","Somewhat easy","Yes","Never","Cleanliness;Wide stalls or accessible layout;Automatic doors / touchless fixtures","No","A little stressful","Somewhat confident","No, never","I didn’t know this was even possible ","Very likely","N/A","18–24","No","No, I live within the GTA or beyond"
"2025/09/25 3:59:23 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Multiple times per day","Somewhat easy","No","Rarely","Cleanliness;Clear signage/directions","No","Very stressful","Neutral","Yes, sometimes","Photos of the washroom;Cleanliness ratings","Somewhat likely","/","18–24","No","No, I live within the GTA or beyond"
"2025/09/25 4:11:50 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Rarely","Somewhat difficult","Yes","Sometimes","Cleanliness;Clear signage/directions;Wide stalls or accessible layout","No","Very stressful","Neutral","Yes, often","Photos of the washroom;Accessibility details (e.g., stall width, grab bars)","Neutral","NA","18–24","No","Yes, within midtown/uptown Toronto"
"2025/09/25 4:42:10 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","Rarely","Neither easy nor difficult","Yes","Sometimes","Cleanliness;Automatic doors / touchless fixtures","Yes","Somewhat stressful","Somewhat unconfident","Yes, sometimes","Photos of the washroom;Accessibility details (e.g., stall width, grab bars);User reviews;Official certifications (e.g., accessibility compliance)","Very likely","no","18–24","No","Yes, within midtown/uptown Toronto"
"2025/09/25 5:02:56 PM AST","Yes","Yes – I sometimes face accessibility barriers (e.g., lack of information, unclear signage, cleanliness issues)","A few times per week","Neither easy nor difficult","No","Sometimes","Cleanliness;Automatic doors / touchless fixtures","No","Very stressful","Neutral","No, never","Photos of the washroom;Cleanliness ratings;Real-time availability (occupied/free)","Somewhat likely","Why can’t we have self cleaning public washrooms like Japan or other Asian countries ","18–24","No","No, I live within the GTA or beyond"
"2025/09/25 5:05:51 PM AST","Yes","No – I generally do not experience challenges when finding or using public washrooms","","","","","","","","","","","","","","",""
